Order ID,Order Date,Ship Date,Customer_ID,Product_ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit,Sales Channel,Order Priority,Days_To_Ship
292494523,27-01-11,12-02-11,CUST-Sub-Saharan Africa-Chad,PROD-Office Supplies,4484,651.21,524.96,2920025.64,2353920.64,566105,Online,L,16
361825549,28-12-15,23-01-16,CUST-Europe-Latvia,PROD-Beverages,1075,47.45,31.79,51008.75,34174.25,16834.5,Online,C,26
141515767,13-01-11,01-02-11,CUST-Middle East and North Africa-Pakistan,PROD-Vegetables,6515,154.06,90.93,1003700.9,592408.95,411291.95,Offline,C,19
500364005,11-09-12,06-10-12,CUST-Sub-Saharan Africa-Democratic Republic of the Congo,PROD-Household,7683,668.27,502.54,5134318.41,3861014.82,1273303.59,Online,C,25
127481591,27-10-15,05-12-15,CUST-Europe-Czech Republic,PROD-Beverages,3491,47.45,31.79,165647.95,110978.89,54669.06,Online,C,39
482292354,10-07-12,21-08-12,CUST-Sub-Saharan Africa-South Africa,PROD-Beverages,9880,47.45,31.79,468806,314085.2,154720.8,Offline,H,42
844532620,20-02-11,20-03-11,CUST-Asia-Laos,PROD-Vegetables,4825,154.06,90.93,743339.5,438737.25,304602.25,Online,L,28
564251220,10-04-17,12-05-17,CUST-Asia-China,PROD-Baby Food,3330,255.28,159.42,850082.4,530868.6,319213.8,Online,C,32
411809480,21-11-14,10-01-15,CUST-Sub-Saharan Africa-Eritrea,PROD-Meat,2431,421.89,364.69,1025614.59,886561.39,139053.2,Online,L,50
327881228,04-07-15,20-07-15,CUST-Central America and the Caribbean-Haiti,PROD-Office Supplies,6197,651.21,524.96,4035548.37,3253177.12,782371.25,Online,C,16
773452794,26-07-16,24-08-16,CUST-Sub-Saharan Africa-Zambia,PROD-Cereal,724,205.7,117.11,148926.8,84787.64,64139.16,Offline,M,29
479823005,20-10-12,15-11-12,CUST-Europe-Bosnia and Herzegovina,PROD-Baby Food,9145,255.28,159.42,2334535.6,1457895.9,876639.7,Offline,M,26
498603188,22-02-15,27-02-15,CUST-Europe-Germany,PROD-Office Supplies,6618,651.21,524.96,4309707.78,3474185.28,835522.5,Online,C,5
151717174,27-08-16,02-09-16,CUST-Asia-India,PROD-Household,5338,668.27,502.54,3567225.26,2682558.52,884666.74,Online,C,6
181401288,21-06-11,21-07-11,CUST-Middle East and North Africa-Algeria,PROD-Clothes,9527,109.28,35.84,1041110.56,341447.68,699662.88,Offline,C,30
500204360,19-09-13,04-10-13,CUST-Australia and Oceania-Palau,PROD-Snacks,441,152.58,97.44,67287.78,42971.04,24316.74,Offline,L,15
640987718,15-11-15,30-11-15,CUST-Central America and the Caribbean-Cuba,PROD-Beverages,1365,47.45,31.79,64769.25,43393.35,21375.9,Online,H,15
206925189,06-04-15,27-04-15,CUST-Europe-Vatican City,PROD-Beverages,2617,47.45,31.79,124176.65,83194.43,40982.22,Online,L,21
221503102,12-04-10,19-05-10,CUST-Middle East and North Africa-Lebanon,PROD-Personal Care,6545,81.73,56.67,534922.85,370905.15,164017.7,Offline,H,37
878520286,26-09-11,02-10-11,CUST-Europe-Lithuania,PROD-Snacks,2530,152.58,97.44,386027.4,246523.2,139504.2,Offline,H,6
192088067,14-05-16,18-06-16,CUST-Sub-Saharan Africa-Mauritius ,PROD-Cosmetics,1983,437.2,263.33,866967.6,522183.39,344784.21,Offline,H,35
746630275,14-08-10,31-08-10,CUST-Europe-Ukraine,PROD-Office Supplies,3345,651.21,524.96,2178297.45,1755991.2,422306.25,Online,C,17
246883237,13-04-12,22-04-12,CUST-Europe-Russia,PROD-Snacks,7091,152.58,97.44,1081944.78,690947.04,390997.74,Offline,L,9
967895781,19-09-13,28-09-13,CUST-Asia-Japan,PROD-Cosmetics,725,437.2,263.33,316970,190914.25,126055.75,Offline,H,9
305029237,02-12-15,26-12-15,CUST-Europe-Russia,PROD-Meat,3784,421.89,364.69,1596431.76,1379986.96,216444.8,Offline,L,24
223957431,26-02-17,28-02-17,CUST-Europe-Liechtenstein,PROD-Vegetables,2835,154.06,90.93,436760.1,257786.55,178973.55,Offline,L,2
510666692,09-10-16,13-10-16,CUST-Europe-Greece,PROD-Clothes,6477,109.28,35.84,707806.56,232135.68,475670.88,Online,C,4
121455848,20-05-11,19-06-11,CUST-Europe-Albania,PROD-Baby Food,339,255.28,159.42,86539.92,54043.38,32496.54,Offline,C,30
332936227,24-10-13,03-12-13,CUST-Australia and Oceania-Federated States of Micronesia,PROD-Baby Food,2083,255.28,159.42,531748.24,332071.86,199676.38,Online,M,40
692031657,14-06-11,20-07-11,CUST-Central America and the Caribbean-Dominica,PROD-Beverages,6401,47.45,31.79,303727.45,203487.79,100239.66,Offline,H,36
365978467,20-06-15,21-07-15,CUST-Europe-Andorra,PROD-Office Supplies,16,651.21,524.96,10419.36,8399.36,2020,Online,M,31
392325484,05-08-11,01-09-11,CUST-Europe-Switzerland,PROD-Personal Care,6684,81.73,56.67,546283.32,378782.28,167501.04,Online,M,27
528934037,30-11-16,09-01-17,CUST-Central America and the Caribbean-Trinidad and Tobago,PROD-Baby Food,2191,255.28,159.42,559318.48,349289.22,210029.26,Offline,L,40
603977954,05-07-15,29-07-15,CUST-Europe-San Marino,PROD-Vegetables,9353,154.06,90.93,1440923.18,850468.29,590454.89,Online,H,24
965943562,25-03-15,09-05-15,CUST-Central America and the Caribbean-Nicaragua,PROD-Fruits,3020,9.33,6.92,28176.6,20898.4,7278.2,Online,L,45
233629691,22-08-13,30-08-13,CUST-Middle East and North Africa-Azerbaijan,PROD-Cosmetics,5072,437.2,263.33,2217478.4,1335609.76,881868.64,Online,M,8
246147668,11-12-16,13-01-17,CUST-Asia-Bangladesh,PROD-Personal Care,9420,81.73,56.67,769896.6,533831.4,236065.2,Online,L,33
212921321,23-06-13,18-07-13,CUST-Europe-Serbia,PROD-Beverages,7005,47.45,31.79,332387.25,222688.95,109698.3,Online,H,25
763686978,08-05-15,13-05-15,CUST-Sub-Saharan Africa-Mauritius ,PROD-Fruits,803,9.33,6.92,7491.99,5556.76,1935.23,Offline,H,5
798493468,24-10-16,24-11-16,CUST-Central America and the Caribbean-Jamaica,PROD-Baby Food,816,255.28,159.42,208308.48,130086.72,78221.76,Offline,H,31
637702119,10-03-13,04-04-13,CUST-Europe-Italy,PROD-Cereal,9083,205.7,117.11,1868373.1,1063710.13,804662.97,Offline,H,25
671986758,18-03-12,04-05-12,CUST-Asia-Bhutan,PROD-Clothes,4670,109.28,35.84,510337.6,167372.8,342964.8,Offline,L,47
912333714,11-02-15,02-03-15,CUST-Middle East and North Africa-Turkey,PROD-Clothes,8675,109.28,35.84,948004,310912,637092,Online,L,19
540041816,30-10-12,03-11-12,CUST-Europe-Bulgaria,PROD-Cosmetics,9229,437.2,263.33,4034918.8,2430272.57,1604646.23,Offline,L,4
156722390,06-07-12,01-08-12,CUST-Middle East and North Africa-Pakistan,PROD-Household,6493,668.27,502.54,4339077.11,3262992.22,1076084.89,Offline,M,26
434299266,04-01-11,21-02-11,CUST-Europe-Poland,PROD-Cereal,7659,205.7,117.11,1575456.3,896945.49,678510.81,Offline,C,48
765008771,25-10-13,10-12-13,CUST-Europe-France,PROD-Baby Food,1950,255.28,159.42,497796,310869,186927,Offline,M,46
611399734,16-02-16,22-03-16,CUST-Central America and the Caribbean-Jamaica,PROD-Baby Food,5623,255.28,159.42,1435439.44,896418.66,539020.78,Offline,C,35
856333482,16-03-14,27-04-14,CUST-Australia and Oceania-Australia,PROD-Personal Care,6962,81.73,56.67,569004.26,394536.54,174467.72,Online,H,42
652983844,24-09-16,29-10-16,CUST-Middle East and North Africa-Somalia,PROD-Fruits,1285,9.33,6.92,11989.05,8892.2,3096.85,Offline,C,35
574837148,30-09-10,11-11-10,CUST-Europe-Slovenia,PROD-Cosmetics,5941,437.2,263.33,2597405.2,1564443.53,1032961.67,Online,M,42
365692222,05-11-10,05-12-10,CUST-Australia and Oceania-Samoa ,PROD-Clothes,5310,109.28,35.84,580276.8,190310.4,389966.4,Offline,C,30
289660394,21-07-17,22-08-17,CUST-Sub-Saharan Africa-South Africa,PROD-Cereal,5802,205.7,117.11,1193471.4,679472.22,513999.18,Online,M,32
681165492,10-07-13,26-07-13,CUST-Sub-Saharan Africa-Ghana,PROD-Vegetables,861,154.06,90.93,132645.66,78290.73,54354.93,Online,L,16
594943845,06-10-12,21-10-12,CUST-Asia-Sri Lanka,PROD-Office Supplies,5959,651.21,524.96,3880560.39,3128236.64,752323.75,Offline,M,15
956044280,04-06-11,24-07-11,CUST-Sub-Saharan Africa-Guinea,PROD-Meat,3603,421.89,364.69,1520069.67,1313978.07,206091.6,Online,C,50
509828126,12-04-14,15-04-14,CUST-Europe-Spain,PROD-Fruits,8327,9.33,6.92,77690.91,57622.84,20068.07,Offline,L,3
771969211,26-10-15,15-12-15,CUST-Europe-Moldova ,PROD-Personal Care,1699,81.73,56.67,138859.27,96282.33,42576.94,Online,M,50
178453862,04-08-11,27-08-11,CUST-Central America and the Caribbean-Dominican Republic,PROD-Cereal,7318,205.7,117.11,1505312.6,857010.98,648301.62,Online,L,23
835580909,24-02-17,14-04-17,CUST-Europe-Luxembourg,PROD-Personal Care,5814,81.73,56.67,475178.22,329479.38,145698.84,Online,L,49
869961678,30-03-11,12-04-11,CUST-Middle East and North Africa-Kuwait,PROD-Office Supplies,9848,651.21,524.96,6413116.08,5169806.08,1243310,Offline,L,13
278519999,02-05-15,14-06-15,CUST-Central America and the Caribbean-Saint Lucia,PROD-Fruits,9112,9.33,6.92,85014.96,63055.04,21959.92,Online,C,43
478492200,01-02-14,26-02-14,CUST-Europe-Georgia,PROD-Vegetables,5330,154.06,90.93,821139.8,484656.9,336482.9,Offline,H,25
257427108,03-03-12,10-04-12,CUST-Europe-Bosnia and Herzegovina,PROD-Cosmetics,7257,437.2,263.33,3172760.4,1910985.81,1261774.59,Offline,H,38
723186051,22-04-15,13-05-15,CUST-Europe-Iceland,PROD-Snacks,5678,152.58,97.44,866349.24,553264.32,313084.92,Online,H,21
353942859,12-05-11,15-05-11,CUST-Sub-Saharan Africa-Mauritius ,PROD-Personal Care,8412,81.73,56.67,687512.76,476708.04,210804.72,Online,M,3
848183858,21-12-11,18-01-12,CUST-Sub-Saharan Africa-Malawi,PROD-Office Supplies,5307,651.21,524.96,3455971.47,2785962.72,670008.75,Online,C,28
374707877,02-12-10,25-12-10,CUST-Sub-Saharan Africa-Seychelles ,PROD-Meat,3243,421.89,364.69,1368189.27,1182689.67,185499.6,Online,C,23
322626245,14-08-10,16-09-10,CUST-Europe-Montenegro,PROD-Personal Care,1130,81.73,56.67,92354.9,64037.1,28317.8,Online,L,33
351362788,05-10-10,14-11-10,CUST-Europe-Germany,PROD-Household,4912,668.27,502.54,3282542.24,2468476.48,814065.76,Online,L,40
640653836,08-02-12,18-03-12,CUST-Europe-Estonia,PROD-Meat,2562,421.89,364.69,1080882.18,934335.78,146546.4,Offline,H,39
540548217,08-09-12,20-09-12,CUST-Europe-Serbia,PROD-Clothes,9084,109.28,35.84,992699.52,325570.56,667128.96,Online,M,12
821407258,11-08-11,19-08-11,CUST-Sub-Saharan Africa-Madagascar,PROD-Baby Food,1516,255.28,159.42,387004.48,241680.72,145323.76,Offline,C,8
523904788,28-10-12,07-11-12,CUST-Sub-Saharan Africa-Benin,PROD-Beverages,3924,47.45,31.79,186193.8,124743.96,61449.84,Offline,H,10
109027135,11-10-13,27-10-13,CUST-Europe-Hungary,PROD-Clothes,2407,109.28,35.84,263036.96,86266.88,176770.08,Online,M,16
108073127,06-10-16,20-10-16,CUST-Central America and the Caribbean-Cuba,PROD-Cosmetics,95,437.2,263.33,41534,25016.35,16517.65,Online,L,14
672654092,28-07-17,31-07-17,CUST-Sub-Saharan Africa-Senegal,PROD-Fruits,2148,9.33,6.92,20040.84,14864.16,5176.68,Offline,H,3
224693858,04-11-16,25-11-16,CUST-Middle East and North Africa-Algeria,PROD-Vegetables,761,154.06,90.93,117239.66,69197.73,48041.93,Online,M,21
406428754,12-04-16,01-05-16,CUST-Europe-Bosnia and Herzegovina,PROD-Personal Care,155,81.73,56.67,12668.15,8783.85,3884.3,Online,M,19
230407607,13-11-14,20-12-14,CUST-Central America and the Caribbean-Antigua and Barbuda ,PROD-Baby Food,1586,255.28,159.42,404874.08,252840.12,152033.96,Online,H,37
129491746,26-08-12,22-09-12,CUST-Asia-Cambodia,PROD-Personal Care,8340,81.73,56.67,681628.2,472627.8,209000.4,Online,H,27
606854999,15-07-14,15-08-14,CUST-Middle East and North Africa-Oman,PROD-Vegetables,735,154.06,90.93,113234.1,66833.55,46400.55,Online,C,31
885983693,02-05-11,04-05-11,CUST-North America-United States of America,PROD-Baby Food,1118,255.28,159.42,285403.04,178231.56,107171.48,Offline,L,2
260676658,11-11-13,17-12-13,CUST-Sub-Saharan Africa-Mauritania,PROD-Office Supplies,8871,651.21,524.96,5776883.91,4656920.16,1119963.75,Offline,L,36
345045220,14-04-11,20-05-11,CUST-Sub-Saharan Africa-Central African Republic,PROD-Cosmetics,5403,437.2,263.33,2362191.6,1422771.99,939419.61,Offline,H,36
